금융기관명,상품명,가입기간,세전금리
수원중앙신용협동조합,<< 플러스정기적금 1년 6.5% 특판이벤트 >>,1년,6.5
강서신협,☆강서신협 플러스정기적금 최대 6.5%☆,1년,6.5
한평신용협동조합,★플러스정기적금(신한카드 연계형)★,1년~2년,6.5
등촌신용협동조합,< 플러스 정기적금 6.5%★신한카드 연계형 >,1년이하,6.5
인천대건신용협동조합,비과세 플러스정기적금(신한카드연계),1년,6.5
우리은행,우리 Magic 적금 by 현대카드,1년,5.7
공주신용협동조합,5.5우리아이적금(정기적금 상품),1년,5.5
신목신용협동조합,아이사랑적금,1년,5
우리종합금융,The조은 정기적금 특별우대 받고 최고 연 4.0%!,1년,4
웰컴저축은행,WELCOME 체크플러스 2 정기적금,1년~2년,4
웰컴저축은행,WELCOME 아이사랑 정기적금,1년~3년,4
서울드림신용협동조합,정기적금 특판안내(최고 3.0% ~ 6.5%),1년~18개월,4
송파동부신용협동조합,송파동부신용협동조합 적금 특판,1년,3.6
중랑신용협동조합,레이디4U적금(만20세~만39세 여성),1년~3년,3.6
반월신용협동조합,e-파란적금(최대 3.5%),1년,3.5
강서신협,☆강서신협 e-파란적금 최대 3.1%☆ (온뱅크개설),1년,3.1
제주은행,더 탐나는 적금3,6개월~5년,2.6
웰컴저축은행,정기적금,6개월~5년,2.6
SC제일은행,정기적금,6개월~5년,1.9
KB국민은행,정기적금,6개월~3년,0.75